OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,ExterQual_TA,KitchenQual_TA,SalePrice
7,2003,2003,856,856,1710,2,8,2,548,False,False,208500
6,1976,1976,1262,1262,1262,2,6,2,460,True,True,181500
7,2001,2002,920,920,1786,2,6,2,608,False,False,223500
7,1915,1970,756,961,1717,1,7,3,642,True,False,140000
8,2000,2000,1145,1145,2198,2,9,3,836,False,False,250000
5,1993,1995,796,796,1362,1,5,2,480,True,True,143000
8,2004,2005,1686,1694,1694,2,7,2,636,False,False,307000
7,1973,1973,1107,1107,2090,2,7,2,484,True,True,200000
7,1931,1950,952,1022,1774,2,8,2,468,True,True,129900
5,1939,1950,991,1077,1077,1,5,1,205,True,True,118000
5,1965,1965,1040,1040,1040,1,5,1,384,True,True,129500
9,2005,2006,1175,1182,2324,3,11,3,736,False,False,345000
5,1962,1962,912,912,912,1,4,1,352,True,True,144000
7,2006,2007,1494,1494,1494,2,7,3,840,False,False,279500
6,1960,1960,1253,1253,1253,1,5,1,352,True,True,157000
7,1929,2001,832,854,854,1,5,2,576,True,True,132000
6,1970,1970,1004,1004,1004,1,5,2,480,True,True,149000
4,1967,1967,0,1296,1296,2,6,2,516,True,True,90000
5,2004,2004,1114,1114,1114,1,6,2,576,True,False,159000
5,1958,1965,1029,1339,1339,1,6,1,294,True,True,139000
8,2005,2006,1158,1158,2376,3,9,3,853,False,False,325300
7,1930,1950,637,1108,1108,1,6,1,280,True,False,139400
8,2002,2002,1777,1795,1795,2,7,2,534,False,False,230000
5,1976,1976,1040,1060,1060,1,6,2,572,True,True,129900
5,1968,2001,1060,1060,1060,1,6,1,270,True,False,154000
8,2007,2007,1566,1600,1600,2,7,3,890,False,False,256300
5,1951,2000,900,900,900,1,5,2,576,True,False,134800
8,2007,2008,1704,1704,1704,2,7,3,772,False,False,306000
5,1957,1997,1484,1600,1600,1,6,1,319,True,True,207500
4,1927,1950,520,520,520,1,4,1,240,True,False,68500
4,1920,1950,649,649,1317,1,6,1,250,True,True,40000
5,1966,2006,1228,1228,1228,1,6,1,271,True,False,149350
8,2007,2007,1234,1234,1234,2,7,2,484,False,False,179900
5,1959,1959,1398,1700,1700,1,6,2,447,True,False,165500
9,2005,2005,1561,1561,1561,2,6,2,556,False,False,277500
8,2004,2005,1117,1132,2452,3,9,3,691,False,False,309000
5,1994,1995,1097,1097,1097,1,6,2,672,True,True,145000
5,1954,1990,1297,1297,1297,1,5,2,498,True,True,153000
5,1953,2007,1057,1057,1057,1,5,1,246,True,False,109000
4,1955,1955,0,1152,1152,2,6,0,0,True,False,82000
6,1965,1965,1088,1324,1324,2,6,2,440,True,True,160000
5,1959,1959,1350,1328,1328,1,5,1,308,True,True,170000
5,1983,1983,840,884,884,1,5,2,504,True,False,144000
5,1975,1980,938,938,938,1,5,1,308,True,True,130250
5,1959,1959,1150,1150,1150,1,6,1,300,True,True,141000
9,2005,2005,1752,1752,1752,2,6,2,576,False,False,319900
7,2003,2003,1434,1518,2149,1,6,2,670,False,False,239686
8,2006,2006,1656,1656,1656,2,7,3,826,False,False,249700
4,1920,2008,736,736,1452,2,8,0,0,True,True,113000
5,1966,1966,955,955,955,1,6,1,386,True,True,127000
6,1997,1997,794,794,1470,2,6,2,388,True,True,177000
6,1934,1950,816,816,1176,1,6,2,528,True,True,114500
5,1963,1963,816,816,816,1,5,2,516,False,True,110000
9,1981,1987,1842,1842,1842,0,5,3,894,False,False,385000
5,1955,1955,384,1360,1360,1,6,2,572,True,True,130000
6,1964,1964,1425,1425,1425,2,7,2,576,True,True,180500
8,1999,2000,970,983,1739,2,7,2,480,False,False,172500
7,2004,2004,860,860,1720,2,7,2,565,False,False,196500
10,2006,2006,1410,1426,2945,3,10,3,641,False,False,438780
5,1972,1972,780,780,780,1,4,1,352,True,True,124900
6,2004,2004,1158,1158,1158,1,5,2,576,True,False,158000
5,1920,1996,530,581,1111,1,6,1,288,True,False,101000
8,2006,2006,1370,1370,1370,2,6,2,484,False,False,202500
7,1921,1950,576,902,1710,2,9,2,480,True,True,140000
7,1997,1998,1057,1057,2034,2,8,2,645,True,False,219500
8,2004,2005,1143,1143,2473,2,9,3,852,False,False,317000
7,1970,1989,1947,2207,2207,2,7,2,576,True,True,180000
7,2003,2003,1453,1479,1479,2,7,2,558,False,False,226000
4,1945,1950,747,747,747,1,4,1,220,True,True,80000
7,1953,1953,1304,1304,2287,2,7,2,667,False,True,225000
7,1973,1973,2223,2223,2223,2,8,2,516,True,True,244000
4,1982,2006,845,845,845,1,4,2,360,True,True,129500
7,1998,1998,832,885,1718,2,7,2,427,True,True,185000
5,1954,2003,1086,1086,1086,1,6,2,490,True,True,144900
3,1915,1950,840,840,1605,2,8,1,379,False,True,107400
4,1973,1973,462,526,988,1,5,1,297,True,True,91000
4,1956,1956,952,952,952,1,4,1,283,True,True,135750
5,1948,2001,672,1072,1285,1,6,1,240,True,True,127000
4,1968,1968,1768,1768,1768,2,8,0,0,True,True,136500
5,1910,1981,440,682,1230,1,5,2,440,True,True,110000
6,1968,1968,896,1182,2142,2,8,1,509,True,False,193500
6,1998,1998,1237,1337,1337,2,5,2,405,True,True,153500
8,2007,2007,1563,1563,1563,2,6,3,758,True,False,245000
5,1960,1960,1065,1065,1065,1,6,2,461,True,True,126500
7,1995,1996,384,804,1474,2,7,2,400,True,True,168500
8,1991,1992,1288,1301,2417,2,9,2,462,False,False,260000
6,2005,2005,684,684,1560,2,6,2,400,False,False,174000
6,2009,2009,612,612,1224,2,4,2,528,False,False,164500
3,1915,1982,1013,1013,1526,1,6,0,0,False,False,85000
4,1994,1995,990,990,990,1,5,0,0,True,True,123600
4,1950,1950,0,1040,1040,1,4,2,420,True,True,109900
5,1961,1961,1235,1235,1235,1,6,2,480,True,True,98600
5,1921,2006,876,964,964,1,5,2,432,True,True,163500
6,1910,1998,1214,1260,2291,2,9,2,506,True,True,133900
6,1997,1997,824,905,1786,2,7,2,684,True,False,204750
6,1993,1993,680,680,1470,2,6,2,420,False,True,185000
7,1999,1999,1588,1588,1588,2,6,2,472,False,False,214000
4,1965,1965,960,960,960,1,6,1,432,True,True,94750
5,1920,1950,458,835,835,1,5,1,366,True,True,83000
4,1959,1959,950,1225,1225,1,6,0,0,True,True,128950
6,1977,2001,1610,1610,1610,2,6,2,480,True,False,205000
6,1985,1985,741,977,1732,2,7,2,476,False,False,178000
5,1979,1979,0,1535,1535,2,8,2,410,True,True,118964
7,2009,2009,1226,1226,1226,2,6,3,740,True,False,198900
7,1931,1950,1040,1226,1818,1,7,1,240,True,True,169500
8,2003,2004,1053,1053,1992,2,9,2,648,False,False,250000
4,1885,1995,641,1047,1047,1,6,1,273,True,True,100000
5,1948,1950,789,789,789,1,5,1,250,True,True,115000
5,1919,2005,793,997,1517,2,7,0,0,True,False,115000
6,1977,1977,1844,1844,1844,2,7,2,546,True,True,190000
6,1954,1972,994,1216,1855,2,7,1,325,True,True,136900
7,2000,2000,384,774,1430,2,7,2,400,True,True,180000
7,2007,2007,1264,1282,2696,2,10,3,792,False,False,383970
6,1953,1953,1809,2259,2259,2,7,2,450,True,False,217000
6,1945,2002,1028,1436,2320,2,9,1,180,True,False,259500
6,1999,1999,729,729,1458,2,5,2,440,True,True,176000
5,1962,1962,1092,1092,1092,1,6,1,288,True,True,139000
5,2006,2007,1125,1125,1125,1,5,2,430,True,True,155000
7,1990,1990,1673,1699,3222,3,11,3,594,True,False,320000
6,2005,2006,728,728,1456,2,8,2,390,False,False,163990
6,1969,1969,938,988,988,1,4,2,540,True,True,180000
4,1939,1950,732,772,1123,1,4,1,264,True,True,100000
6,1958,1958,1080,1080,1080,1,5,1,288,True,True,136000
6,1993,1993,1199,1199,1199,2,5,2,530,False,False,153900
6,1979,1998,1362,1586,1586,2,7,2,435,True,True,181000
6,1935,1982,520,520,754,1,5,0,0,True,True,84500
6,1976,1976,1078,958,958,2,5,2,440,True,True,128000
5,1930,1950,672,840,840,1,5,0,0,True,True,87000
6,1966,1966,660,660,1348,1,6,2,453,True,True,155000
5,1958,1991,1008,1053,1053,1,6,2,750,True,False,150000
7,1966,1966,924,1216,2157,2,8,2,487,True,False,226000
6,2000,2000,992,1022,2054,2,7,2,390,False,False,244000
5,1959,2002,1063,1327,1327,1,7,2,624,True,False,150750
8,2001,2002,1267,1296,1296,2,6,2,471,False,False,220000
5,1968,1993,1461,1721,1721,2,7,2,440,True,True,180000
7,1970,1970,1304,1682,1682,2,7,2,530,True,True,174000
5,1967,1967,1214,1214,1214,2,5,1,318,True,True,143000
7,1988,1989,1907,1959,1959,3,9,3,766,True,True,171000
8,1999,2000,1004,1004,1852,2,7,3,660,False,False,230000
6,1997,1997,928,928,1764,2,7,2,470,True,False,231500
4,1971,1971,864,864,864,1,5,0,0,True,True,115000
7,2005,2005,1734,1734,1734,2,7,2,660,False,False,260000
5,1952,1952,910,910,1385,2,6,2,720,True,True,166000
7,1999,1999,1490,1501,1501,2,6,2,577,False,False,204000
5,1963,1963,1728,1728,1728,2,10,2,504,True,True,125000
6,2004,2006,970,970,1709,2,7,2,380,False,False,130000
5,1931,1993,715,875,875,1,5,1,180,True,True,105000
7,2001,2001,884,884,2035,2,8,2,434,False,False,222500
7,2004,2005,1080,1080,1080,1,6,0,0,True,False,141000
5,1936,1950,896,896,1344,1,7,1,240,True,True,115000
5,1975,1975,969,969,969,1,5,2,440,True,True,122000
8,2007,2008,1710,1710,1710,2,6,3,866,False,False,372402
6,1971,1971,825,1097,1993,2,8,2,495,True,True,190000
6,1960,1975,1602,1252,1252,1,4,2,564,True,True,235000
6,1923,1950,1200,1200,1200,1,7,1,312,True,True,125000
6,1924,1950,572,572,1096,1,5,0,0,True,True,79000
5,1950,1950,0,1040,1040,1,5,2,625,True,True,109500
8,2009,2010,774,774,1968,2,8,3,680,False,False,269500
7,2004,2005,991,991,1947,2,8,2,678,False,False,254900
7,2005,2006,1392,1392,2462,2,9,2,576,False,False,320000
6,1984,1984,1232,1232,1232,2,6,2,516,True,True,162500
9,2003,2004,1572,1572,2668,2,10,3,726,False,False,412500
7,2005,2005,1541,1541,1541,2,7,2,532,False,False,220000
4,1956,1956,882,882,882,1,4,0,0,True,True,103200
6,1926,2004,1149,1149,1616,2,5,1,216,True,False,152000
5,1940,1999,644,808,1355,2,6,0,0,True,True,127500
5,1955,1993,1617,1867,1867,1,7,1,303,False,True,190000
8,2007,2007,1582,1610,2161,1,8,3,789,False,False,325624
7,2004,2004,840,840,1720,2,7,2,440,False,False,183500
8,1981,1981,1686,1707,1707,2,6,2,511,False,True,228000
5,1941,1950,720,854,1382,1,7,2,660,True,True,128500
6,1960,1960,1080,1656,1656,1,7,2,528,True,True,215000
7,1987,1987,1064,1064,1767,2,5,2,504,False,False,239000
6,1961,1961,1362,1362,1362,1,6,2,504,True,True,163000
6,1986,1986,1606,1651,1651,2,7,2,616,True,True,184000
6,1950,2001,1202,2158,2158,2,7,2,576,True,False,243000
6,1988,1989,1151,1164,2060,2,8,2,521,False,True,211000
5,1958,1958,1052,1252,1920,2,8,2,451,False,False,172500
9,2008,2009,2216,2234,2234,2,9,3,1166,False,False,501837
5,1923,2006,968,968,968,1,5,2,480,False,True,100000
6,2000,2000,756,769,1525,2,5,2,440,False,False,177000
7,1920,1950,793,901,1802,1,9,1,216,True,True,200100
5,1957,2006,0,1340,1340,1,7,1,252,True,True,120000
7,2003,2003,1362,1362,2082,2,6,2,484,True,False,200000
5,1908,1991,504,936,1252,1,5,2,576,True,True,127000
10,1892,1993,1107,1518,3608,2,12,3,840,False,False,475000
7,1990,1991,1188,1217,1217,2,6,2,497,True,False,173000
5,1916,1987,660,808,1656,2,8,1,180,True,True,135000
5,1979,1979,1086,1224,1224,0,6,2,528,True,True,153337
8,2001,2002,1593,1593,1593,1,5,2,682,False,False,286000
8,1932,1994,853,1549,2727,2,10,2,440,False,False,315000
7,1972,2004,725,725,1479,1,7,2,484,True,False,184000
7,1999,1999,1431,1431,1431,2,6,2,666,False,False,192000
7,2004,2004,970,970,1709,2,7,2,380,False,False,130000
5,1972,1972,864,864,864,1,5,1,352,True,True,127000
6,1976,1976,855,855,1456,2,7,2,440,True,True,148500
7,2007,2007,1726,1726,1726,2,8,3,786,False,False,311872
8,1918,1990,1360,1360,3112,2,8,2,795,False,False,235000
6,1912,1950,755,929,2229,1,8,0,0,True,True,104000
8,2004,2005,1713,1713,1713,2,7,3,856,False,False,274900
4,2003,2004,1121,1121,1121,2,5,2,440,True,True,140000
6,1977,1977,1196,1279,1279,2,6,2,473,True,True,171500
6,1924,1950,617,865,1310,2,6,1,398,True,True,112000
6,2004,2004,848,848,848,1,3,2,420,False,False,149000
5,1947,1950,720,720,1284,1,5,1,240,True,True,110000
7,1990,1990,1424,1442,1442,2,5,2,500,True,True,180500
5,1962,1962,1140,1696,1696,1,8,1,349,True,True,143900
4,1960,1960,1100,1100,1100,1,6,1,312,True,True,141000
7,1988,1989,1157,1180,2062,2,7,2,454,False,True,277000
6,1964,1964,1092,1092,1092,1,6,2,504,True,True,145000
5,1925,1950,864,864,864,1,5,0,0,True,True,98000
6,2009,2009,1212,1212,1212,2,6,2,460,True,False,186000
7,2009,2009,900,932,1852,2,7,2,644,True,False,252678
5,1995,1995,990,990,990,1,5,2,576,True,True,156000
6,1977,1977,689,689,1392,1,6,1,299,True,True,161750
5,1957,1996,1070,1236,1236,1,6,1,447,True,False,134450
7,2004,2004,1436,1436,1436,2,8,2,484,False,False,210000
4,1925,1950,686,810,1328,1,8,1,210,True,True,107000
7,1939,2006,798,1137,1954,1,8,2,431,False,False,311500
7,2005,2006,1248,1248,1248,2,5,2,438,False,False,167240
7,2006,2006,1498,1498,1498,2,5,2,675,False,False,204900
6,2002,2002,1010,1010,2267,2,8,2,390,False,False,200000
6,1975,1975,713,811,1552,2,6,2,434,True,True,179900
4,1971,1971,864,864,864,1,4,2,576,True,True,97000
10,2003,2003,2392,2392,2392,2,8,3,968,False,False,386250
5,1971,1971,630,630,1302,2,6,1,280,True,True,112000
7,1995,1995,1203,1214,2520,2,9,3,721,False,False,290000
6,1970,1970,483,483,987,1,5,1,280,True,True,106000
5,1967,1967,912,912,912,1,5,1,336,True,True,125000
7,2005,2006,1373,1555,1555,2,7,2,430,False,False,192500
6,1959,1959,1194,1194,1194,1,6,1,312,True,True,148000
8,1995,1996,1462,1490,2794,2,9,3,810,False,False,403000
6,1972,1972,483,483,987,1,5,1,288,True,True,94500
5,1976,1976,894,894,894,1,5,1,308,True,True,128200
6,2002,2002,860,860,1960,2,8,2,440,False,False,216500
6,1971,1971,483,483,987,1,5,1,264,True,True,89500
7,2004,2004,1414,1414,1414,2,6,2,494,False,False,185500
7,1993,2003,996,1014,1744,2,7,2,457,False,False,194500
8,2007,2007,1694,1694,1694,2,7,3,818,False,False,318000
6,1945,1950,735,798,1487,1,7,1,220,True,True,113000
8,2008,2008,1566,1566,1566,2,7,2,750,False,False,262500
5,1945,1997,686,866,866,1,4,0,0,True,False,110500
5,1900,1950,540,889,1440,1,6,1,352,True,True,79000
6,1980,1980,626,626,1217,1,6,1,288,True,True,120000
7,1994,2002,948,1222,2110,2,8,2,463,False,False,205000
7,1988,1988,1845,1872,1872,2,6,2,604,True,True,241500
6,1910,1950,1020,908,1928,2,9,1,440,True,False,137000
6,1954,1954,1367,1375,1375,1,5,2,451,True,True,140000
7,2003,2003,840,840,1668,2,8,2,500,False,False,180000
6,1958,2006,1444,1444,2144,2,7,2,389,False,False,277000
3,1940,1966,728,1306,1306,1,6,0,0,True,False,76500
8,2006,2007,1573,1625,1625,2,5,2,538,False,False,235000
6,2004,2004,798,798,1640,2,6,2,520,False,False,173000
6,1964,1991,1302,1302,1302,2,7,1,309,True,False,158000
5,1957,1957,1314,1314,1314,1,5,1,294,True,True,145000
7,1999,1999,975,1005,2291,2,8,2,429,False,False,230000
6,2003,2003,864,864,1728,2,7,2,673,False,False,207500
7,2006,2006,1604,1604,1604,2,8,2,660,False,False,220000
7,2001,2001,963,963,1792,2,7,2,564,False,False,231500
5,1956,1956,0,882,882,1,4,1,308,True,True,97000
6,1962,1962,1362,1382,1382,1,6,2,884,True,True,176000
8,2007,2007,1482,1482,2574,2,10,3,868,False,False,276000
6,1977,1995,506,1212,1212,1,6,2,492,True,True,151000
5,1929,2001,926,926,1316,1,6,2,484,True,True,130000
5,1925,2004,680,764,764,1,4,2,504,True,True,73000
6,1981,1981,1422,1422,1422,2,7,2,576,True,False,175500
6,1997,1997,802,802,1511,2,8,2,413,True,True,185000
5,1939,1997,720,1052,2192,2,8,1,240,True,False,179500
5,1940,1955,740,778,778,1,4,1,924,True,True,120500
6,1976,1976,1143,1113,1113,1,6,1,504,True,True,148000
8,2006,2006,1095,1095,1939,2,8,3,1053,False,False,266000
7,1954,2005,1385,1363,1363,1,5,2,439,True,True,241500
8,1999,2007,1152,1164,2270,2,9,3,671,False,False,290000
6,1958,1988,1240,1632,1632,2,6,1,338,True,True,139000
5,1982,1982,816,816,816,1,5,1,264,True,True,124500
7,1925,2007,952,952,1548,2,5,2,672,False,False,205000
7,2003,2003,1560,1560,1560,2,7,2,573,False,False,201000
4,1951,1951,864,864,864,1,4,2,400,True,True,141000
9,2006,2007,2121,2121,2121,2,8,3,732,False,False,415298
7,1977,1977,1160,1156,2022,2,8,2,505,True,True,192000
7,1989,1989,807,1175,1982,2,7,2,575,False,False,228500
6,2006,2006,1262,1262,1262,2,5,2,572,False,False,185000
7,2007,2008,1314,1314,1314,2,6,2,626,False,False,207500
8,2008,2009,1468,1468,1468,2,6,3,898,False,False,244600
6,1992,1992,1575,1575,1575,2,5,2,529,False,False,179200
7,2006,2007,625,625,1250,2,5,2,528,False,False,164700
6,1962,1981,912,1085,1734,1,7,2,440,True,False,159000
4,1971,1971,858,858,858,1,5,0,0,True,True,88000
5,1967,1967,882,900,900,1,5,1,280,True,True,122000
6,1915,2003,698,698,1396,1,7,1,384,True,True,153575
8,2006,2006,1079,1079,1919,2,8,2,685,False,False,233230
5,1912,2000,780,936,1716,2,9,0,0,True,False,135900
5,1949,2008,768,1148,1716,1,8,1,281,True,True,131000
7,1977,1994,795,1468,2263,2,9,2,539,True,False,235000
6,1953,1953,1416,1644,1644,1,7,2,418,True,True,167000
6,1984,1984,1003,1003,1003,1,6,2,588,True,True,142500
5,1950,1950,910,910,1558,1,6,1,282,True,True,152000
7,1997,1998,975,975,1950,2,7,2,576,False,False,239000
6,1968,1968,702,1041,1743,1,7,2,539,False,True,175000
6,1950,2004,1092,1152,1152,1,6,1,300,True,False,158500
5,1953,1953,1165,1336,1336,1,5,1,375,True,True,157000
8,1998,1999,1028,1210,2452,2,9,2,683,False,False,267000
7,2001,2002,1541,1541,1541,2,6,3,843,False,False,205000
5,1972,1972,894,894,894,1,5,2,552,True,True,149900
7,1880,2002,1470,1675,3493,3,10,3,870,True,False,295000
8,2004,2005,2000,2000,2000,2,8,3,888,False,False,305900
7,1990,1991,700,1122,2243,2,8,3,746,False,False,225000
6,1920,1950,319,1035,1406,1,6,0,0,True,False,89500
4,1940,1950,861,861,861,1,4,2,539,True,True,82500
9,2003,2004,1896,1944,1944,2,8,3,708,False,False,360000
6,1993,1994,697,697,1501,2,6,2,420,True,False,165600
6,1948,2002,972,972,972,1,5,1,240,True,True,132000
5,1939,1950,793,793,1118,1,5,2,410,True,True,119900
7,1965,1965,2136,2036,2036,2,8,2,513,True,True,375000
7,1925,1990,728,832,1641,1,6,2,546,True,False,178000
7,2004,2005,716,716,1432,2,6,2,432,False,False,188500
7,1980,1980,845,1153,2353,2,10,2,484,False,False,260000
8,2006,2006,1088,1088,1959,2,8,3,1025,False,False,270000
7,1993,1993,1347,1372,2646,2,9,3,656,False,False,260000
7,1980,1980,1372,1472,1472,2,6,2,588,True,True,187500
9,2006,2006,1249,1249,2596,3,9,3,840,True,False,342643
8,2004,2004,1136,1136,2468,2,10,3,872,False,False,354000
7,1986,1987,1502,1553,2730,2,8,2,576,False,False,301000
3,1955,2005,1162,1163,1163,1,6,1,220,True,True,126175
7,1967,2007,710,1898,2978,2,11,2,564,False,False,242000
5,1941,1950,720,803,803,1,5,2,360,True,True,87000
8,1993,1993,1719,1719,1719,1,6,2,473,False,False,324000
6,1960,1960,1383,1383,1383,1,7,1,292,True,True,145250
6,1916,1994,844,1445,2134,2,10,2,441,True,False,214500
5,1920,1950,596,596,1192,1,6,1,189,True,True,78000
5,1964,1964,1728,1728,1728,2,10,1,352,True,True,119000
5,1958,1992,1056,1056,1056,1,6,1,308,True,True,139000
8,2003,2004,3206,1629,1629,2,7,3,880,False,False,284000
7,2004,2004,1358,1358,1358,2,6,2,484,False,False,207000
6,1998,1998,943,943,1638,2,7,2,472,True,True,192000
5,1965,1965,1499,1619,1786,2,7,2,529,True,True,228950
9,2005,2006,1922,1922,1922,2,8,3,676,False,False,377426
7,2002,2003,1536,1536,1536,2,7,2,532,False,False,214000
7,1984,1998,1208,1621,1621,2,8,2,440,False,False,202500
6,1958,1998,1215,1215,1215,1,6,1,297,True,True,155000
8,2002,2002,967,993,1908,2,9,2,431,False,False,202900
4,1950,1950,721,841,841,1,4,1,294,False,True,82000
3,1949,1950,0,1040,1040,2,6,2,400,True,True,87500
9,2005,2005,1684,1684,1684,2,6,2,564,False,False,266000
5,1976,1976,536,536,1112,1,4,1,336,True,True,85000
6,1939,1950,972,972,1577,1,6,1,312,True,False,140200
6,1960,1998,958,958,958,1,5,1,301,True,True,151500
6,1960,1960,1478,1478,1478,2,6,2,498,True,True,157500
7,2003,2004,764,764,1626,2,6,2,474,False,False,154000
9,2005,2006,1848,1848,2728,2,10,3,706,False,False,437154
9,2007,2007,1869,1869,1869,2,6,2,617,False,False,318061
7,1986,1986,1453,1453,1453,1,6,2,445,True,False,190000
5,1941,1950,616,616,1111,1,5,1,200,True,True,95000
6,1928,2003,624,720,720,1,5,2,484,True,True,105900
6,1940,2000,940,1192,1595,1,6,1,240,True,True,140000
6,1995,1995,1200,1200,1200,2,6,2,521,False,False,177500
6,1992,1992,1158,1167,1167,2,6,2,400,True,False,173000
5,1976,1976,1142,1142,1142,1,6,2,528,True,True,134000
5,1958,1958,1062,1352,1352,1,6,1,288,True,False,130000
8,1998,1998,1086,1086,1924,2,7,2,592,False,False,280000
6,1978,1978,888,912,912,1,5,2,470,True,True,156000
5,1940,1982,883,988,1505,1,8,1,240,True,True,145000
